uid,flavour,position,volume,height,birthday
1,vanilla,1st,250.5,175.3,1990-05-15_08:30:00
2,chocolate,2nd,300.2,180.7,1985-11-22_14:45:30
3,strawberry,3rd,275.8,165.2,1992-03-10_09:15:45
5,mint,5th,320.1,172.8,1988-07-18_11:20:10
7,lemon,7th,290.4,168.5,1995-02-25_16:35:22
8,coconut,8th,text_error,182.3,1991-09-30_10:50:40
9,mango,9th,310.7,not_a_number,1987-12-05_13:25:15
10,,10th,295.3,177.9,1993-06-12_07:40:55
11,peach,last,305.6,170.1,,
12,grape,12th,285.9,175.8,1989/04/20_12:30:45
14,berry,14th,,169.4,2025-01-01_00:00:00
15,caramel,15th,330.2,171.6,1800-03-15_09:20:30
18,toffee,18th,298.7,-5.2,1994-08-22_18:45:10
19,honey,19th,315.4,178.3,not_a_datetime
20,maple,,308.1,173.5,2024-05-10_25:80:99
